,Sensor Description,Sensor Number,Duration,Plot,Data Collection,Data Available,ID,Station,Elev (feet),Latitude,Longitude,County,River Basin,Sensor,PE Code,Description,Units
0,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,AGW,A.G. WISHON (PG&E),1000,37.151,-119.505,MERCED,SAN JOAQUIN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
1,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,07/01/1994 to present,ACN,ACTON,2600,34.446,-118.2,LOS ANGELES,SANTA CLARA R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
2,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),DATA XCHG-NRCS,06/30/1999 to present,ADM,ADIN MOUNTAIN,6200,41.237,-120.792,MODOC,PIT R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
3,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),DATA XCHG-NRCS,01/02/1986 to 08/05/1999,ADM,ADIN MOUNTAIN,6200,41.237,-120.792,MODOC,PIT R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
4,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,08/01/1991 to present,ALD,ALDER POINT,923,40.232,-123.712,HUMBOLDT,EEL R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
5,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),DATA XCHG-USACE SAC,11/29/1988 to present,ALS,ALDER SPRINGS (USACE),4500,39.65,-122.725,GLENN,STONY CR,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
6,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2009 to present,ADS,ALDER SPRINGS NEAR ELK CREEK,4500,39.65,-122.725,GLENN,STONY CR,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
7,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,01/01/1995 to present,ADS,ALDER SPRINGS NEAR ELK CREEK,4500,39.65,-122.725,GLENN,STONY CR,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
8,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,ALY,ALLEGHANY,4957,39.47,-120.875,SIERRA,YUBA R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
9,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),SATELLITE,10/14/2008 to present,ALY,ALLEGHANY,4957,39.47,-120.875,SIERRA,YUBA R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
10,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,01/01/1984 to present,ALY,ALLEGHANY,4957,39.47,-120.875,SIERRA,YUBA R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
11,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),DATA XCHG-SMUD,10/27/2020 to present,ALP,ALPHA (SMUD),7600,38.804192,-120.215652,EL DORADO,AMERICAN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
12,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,API,ALPINE,2041,32.834,-116.739,SAN DIEGO,SAN DIEGO R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
13,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,09/06/2001 to present,API,ALPINE,2041,32.834,-116.739,SAN DIEGO,SAN DIEGO R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
14,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,ANG,ANGWIN,1815,38.5712,-122.4332,NAPA,NAPA R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
15,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,ANT,ANTELOPE LAKE,4960,40.18,-120.607,PLUMAS,FEATHER R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
16,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,01/01/1984 to present,ANT,ANTELOPE LAKE,4960,40.18,-120.607,PLUMAS,FEATHER R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
17,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),SATELLITE,08/26/1998 to 11/08/2008,ANT,ANTELOPE LAKE,4960,40.18,-120.607,PLUMAS,FEATHER R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
18,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,06/03/1997 to present,POP,ANTELOPE VALLEY CALIF POPPY RESERVE,2760,34.738,-118.404,LOS ANGELES,ANTELOPE VALLEY,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
19,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,12/01/1987 to present,ANZ,ANZA,3920,33.5558,-116.6744,RIVERSIDE,SAN JACINTO R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
20,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,ARW,ARDEN WAY,35,38.596,-121.413,SACRAMENTO,AMERICAN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
21,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,ARS,ARROWHEAD SPRINGS HOTEL,2000,34.184,-117.264,SAN BERNARDINO,LYTLE CR,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
22,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,02/06/1989 to present,ARG,ARROYO GRANDE,600,35.117,-120.417,SAN LUIS OBISPO,ARROYO GRANDE CREEK,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
23,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2005 to present,ARY,ARROYO SECO,980,36.23,-121.488,MONTEREY,SALINAS R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
24,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,06/03/1999 to present,ARY,ARROYO SECO,980,36.23,-121.488,MONTEREY,SALINAS R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
25,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,05/30/2000 to present,ASC,ASH CREEK (USFS),3200,41.276943,-121.979446,SISKIYOU,MC CLOUD R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
26,"PRECIPITATION, ACCUMULATED, INCHES",2,(monthly),(RAIN),MANUAL ENTRY,10/01/1921 to present,ASM,ASH MOUNTAIN,1708,36.483,-118.833,TULARE,KAWEAH R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
27,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,01/10/1992 to 01/13/2020,AHV,ASH VALLEY,5090,41.058,-120.706,LASSEN,PIT R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
28,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,ATL,ATLAS PEAK,1660,38.428333,-122.248333,NAPA,NAPA R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
29,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,ATW,ATWELL CAMP,6400,36.464,-118.631,TULARE,KAWEAH R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
30,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),DATA XCHG-USACE SAC,11/29/1988 to present,ATW,ATWELL CAMP,6400,36.464,-118.631,TULARE,KAWEAH R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
31,"PRECIPITATION, ACCUMULATED, INCHES",2,(monthly),(RAIN),MANUAL ENTRY,10/01/1949 to present,ATW,ATWELL CAMP,6400,36.464,-118.631,TULARE,KAWEAH R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
32,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,09/27/2004 to present,ADR,AUBURN DAM RIDGE,1200,38.882,-121.045,PLACER,AMERICAN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
33,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2012 to present,BFK,BAKERSFIELD AIRPORT,494,35.434,-119.054,KERN,TULARE LAKE,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
34,"PRECIPITATION, ACCUMULATED, INCHES",2,(monthly),(RAIN),MANUAL ENTRY,10/01/1937 to present,BFK,BAKERSFIELD AIRPORT,494,35.434,-119.054,KERN,TULARE LAKE,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
35,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,BAL,BALCH PH (PG&E),1720,36.909,-119.089,FRESNO,KINGS R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
36,"PRECIPITATION, ACCUMULATED, INCHES",2,(monthly),(RAIN),MANUAL ENTRY,10/01/1921 to present,BAL,BALCH PH (PG&E),1720,36.909,-119.089,FRESNO,KINGS R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
37,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2003 to present,BDM,BALD MOUNTAIN (USBR),4720,37.067,-119.4,FRESNO,SAN JOAQUIN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
38,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,08/01/1991 to present,BMT,BALD MOUNTAIN (USFS),4680,38.9,-120.683,EL DORADO,RUBICON R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
39,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2005 to present,BGR,BANGOR,800,39.38073,-121.386246,BUTTE,YUBA R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
40,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,01/01/1984 to present,BGR,BANGOR,800,39.38073,-121.386246,BUTTE,YUBA R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
41,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,01/10/1992 to present,BRR,BARREL SPRINGS,5835,41.9111,-119.9389,State of Nevada,PIT R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
42,"PRECIPITATION, ACCUMULATED, INCHES",2,(hourly),(RAIN),SATELLITE,09/07/2000 to present,BTT,BATTERSON,3160,37.383,-119.617,MADERA,SAN JOAQUIN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
43,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),ALERT,12/17/1994 to 08/25/1998,BTR,BATTLE RIDGE,3400,40.333,-121.75,TEHAMA,SACTO VLY NE,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
44,"PRECIPITATION, ACCUMULATED, INCHES",2,(daily),(RAIN),COMPUTED,10/01/2002 to present,BCH,BEACH MEADOWS,7650,36.126095,-118.293457,TULARE,KERN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
45,"PRECIPITATION, ACCUMULATED, INCHES",2,(event),(RAIN),SATELLITE,05/11/2022 to present,BCH,BEACH MEADOWS,7650,36.126095,-118.293457,TULARE,KERN R,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
